# x_m,y_m,w_tr_right_m,w_tr_left_m
6.2100,0.6100,0.8500,0.8500
6.2600,0.6100,0.8500,0.8500
6.3100,0.6100,0.8382,0.8382
6.3600,0.6100,0.8246,0.8246
6.4100,0.6100,0.8139,0.8139
6.4600,0.6100,0.8062,0.8062
6.5100,0.6100,0.8016,0.8016
6.5600,0.6100,0.8000,0.8000
6.6100,0.6100,0.8000,0.8000
6.6600,0.6100,0.7906,0.7906
6.7100,0.6100,0.7762,0.7762
6.7600,0.6100,0.7649,0.7649
6.8100,0.6100,0.7566,0.7566
6.8600,0.6100,0.7517,0.7517
6.9100,0.6100,0.7500,0.7500
6.9600,0.6100,0.7500,0.7500
7.0100,0.6100,0.7500,0.7500
7.0600,0.6100,0.7433,0.7433
7.1100,0.6100,0.7280,0.7280
7.1600,0.6600,0.7000,0.7000
7.2100,0.6600,0.7000,0.7000
7.2600,0.6600,0.7000,0.7000
7.3100,0.6600,0.7000,0.7000
7.3600,0.6600,0.7000,0.7000
7.4100,0.6600,0.7000,0.7000
7.4600,0.6600,0.7018,0.7018
7.5100,0.6600,0.7071,0.7071
7.5600,0.6600,0.7159,0.7159
7.6100,0.6600,0.7071,0.7071
7.6600,0.6600,0.7018,0.7018
7.7100,0.6600,0.7000,0.7000
7.7600,0.6600,0.7000,0.7000
7.8100,0.6600,0.6964,0.6964
7.8600,0.7100,0.7000,0.7000
7.9100,0.7100,0.7000,0.7000
7.9600,0.7100,0.7000,0.7000
8.0100,0.7100,0.7018,0.7018
8.0600,0.7100,0.7000,0.7000
8.1100,0.7100,0.6964,0.6964
8.1600,0.7100,0.6801,0.6801
8.2100,0.7100,0.6671,0.6671
8.2600,0.7600,0.6671,0.6671
8.3100,0.7600,0.6801,0.6801
8.3600,0.7600,0.6964,0.6964
8.4100,0.7600,0.7000,0.7000
8.4600,0.7600,0.7000,0.7000
8.5100,0.7600,0.6964,0.6964
8.5600,0.7600,0.6801,0.6801
8.6100,0.7600,0.6671,0.6671
8.6600,0.8100,0.7071,0.7071
8.7100,0.8100,0.7018,0.7018
8.7600,0.8100,0.7000,0.7000
8.8100,0.8100,0.7000,0.7000
8.8600,0.8100,0.6964,0.6964
8.9100,0.8600,0.7280,0.7280
