time_s,x_m,y_m,truth_x_m,truth_y_m,nearest_index,error_m,truth_error_m,localization_error_m
8.605699986219406e-05,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.00042460300028324127,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.015130581999983406,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.01581558500038227,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.016204989999096142,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.01636221300213947,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.01677265900070779,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.017146212001534877,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.017600498998945113,0.5485000000000156,2.2610000000000494,0.5485,2.261,0,4.364057741653285e-05,4.3640577447854e-05,5.17198322497564e-14
0.04342569700020249,0.5485000000000156,2.2610000000000494,0.548417601058987,2.2609220292704193,0,4.364057741653285e-05,0.0001272957320753302,0.0001134417038028835
0.04466582700115396,0.5484176010590026,2.2609220292704686,0.548417601058987,2.2609220292704193,0,0.0001272957320242661,0.0001272957320753302,5.17198322497564e-14
0.04498609100119211,0.5484176010590026,2.2609220292704686,0.548417601058987,2.2609220292704193,0,0.0001272957320242661,0.0001272957320753302,5.17198322497564e-14
0.045512357999541564,0.5484176010590026,2.2609220292704686,0.548417601058987,2.2609220292704193,0,0.0001272957320242661,0.0001272957320753302,5.17198322497564e-14
0.04585962100100005,0.5484176010590026,2.2609220292704686,0.548417601058987,2.2609220292704193,0,0.0001272957320242661,0.0001272957320753302,5.17198322497564e-14
0.046245978999650106,0.5484176010590026,2.2609220292704686,0.548417601058987,2.2609220292704193,0,0.0001272957320242661,0.0001272957320753302,5.17198322497564e-14
0.046622730002127355,0.5484176010590026,2.2609220292704686,0.548417601058987,2.2609220292704193,0,0.0001272957320242661,0.0001272957320753302,5.17198322497564e-14
0.06611754600089625,0.5484176010590026,2.2609220292704686,0.5479777326838328,2.260505779757386,0,0.0001272957320242661,0.0007266297570268404,0.0006055970975954845
0.06727615500130923,0.5479777326838484,2.2605057797574353,0.5479777326838328,2.260505779757386,0,0.0007266297569801804,0.0007266297570268404,5.17198322497564e-14
0.06785855799898854,0.5479777326838484,2.2605057797574353,0.5479777326838328,2.260505779757386,0,0.0007266297569801804,0.0007266297570268404,5.17198322497564e-14
0.06933856199975708,0.5479777326838484,2.2605057797574353,0.5479777326838328,2.260505779757386,0,0.0007266297569801804,0.0007266297570268404,5.17198322497564e-14
0.07061256599990884,0.5479777326838484,2.2605057797574353,0.5479777326838328,2.260505779757386,0,0.0007266297569801804,0.0007266297570268404,5.17198322497564e-14
0.07150288599950727,0.5479777326838484,2.2605057797574353,0.5479777326838328,2.260505779757386,0,0.0007266297569801804,0.0007266297570268404,5.17198322497564e-14
0.07204604200160247,0.5479777326838484,2.2605057797574353,0.5479777326838328,2.260505779757386,0,0.0007266297569801804,0.0007266297570268404,5.17198322497564e-14
0.09510719700119807,0.5479777326838484,2.2605057797574353,0.5466213392291132,2.259221369218485,0,0.0007266297569801804,0.0025937393307970628,0.0018680239925160625
0.09580619999906048,0.5466213392291288,2.259221369218534,0.5466213392291132,2.259221369218485,0,0.0025937393307513944,0.0025937393307970628,5.17198322497564e-14
0.0961530140011746,0.5466213392291288,2.259221369218534,0.5466213392291132,2.259221369218485,0,0.0025937393307513944,0.0025937393307970628,5.17198322497564e-14
0.096291461999499,0.5466213392291288,2.259221369218534,0.5466213392291132,2.259221369218485,0,0.0025937393307513944,0.0025937393307970628,5.17198322497564e-14
0.09659800200097379,0.5466213392291288,2.259221369218534,0.5466213392291132,2.259221369218485,0,0.0025937393307513944,0.0025937393307970628,5.17198322497564e-14
0.09695336900040274,0.5466213392291288,2.259221369218534,0.5466213392291132,2.259221369218485,0,0.0025937393307513944,0.0025937393307970628,5.17198322497564e-14
0.09753021900178283,0.5466213392291288,2.259221369218534,0.5466213392291132,2.259221369218485,0,0.0025937393307513944,0.0025937393307970628,5.17198322497564e-14
0.11517011700198054,0.5466213392291288,2.259221369218534,0.5452748696557855,2.2579440640423116,0,0.0025937393307513944,0.004449540099691673,0.0018559334107515792
0.11581350499909604,0.5452748696558012,2.257944064042361,0.5452748696557855,2.2579440640423116,0,0.004449540099646165,0.004449540099691673,5.17198322497564e-14
0.11635306800235412,0.5452748696558012,2.257944064042361,0.5452748696557855,2.2579440640423116,0,0.004449540099646165,0.004449540099691673,5.17198322497564e-14
0.11654768399966997,0.5452748696558012,2.257944064042361,0.5452748696557855,2.2579440640423116,0,0.004449540099646165,0.004449540099691673,5.17198322497564e-14
0.1169886370007589,0.5452748696558012,2.257944064042361,0.5452748696557855,2.2579440640423116,0,0.004449540099646165,0.004449540099691673,5.17198322497564e-14
0.11751614899912965,0.5452748696558012,2.257944064042361,0.5452748696557855,2.2579440640423116,0,0.004449540099646165,0.004449540099691673,5.17198322497564e-14
0.11798016300235759,0.5452748696558012,2.257944064042361,0.5452748696557855,2.2579440640423116,0,0.004449540099646165,0.004449540099691673,5.17198322497564e-14
0.1409196320018964,0.5452748696558012,2.257944064042361,0.5426136100602085,2.2554091023841214,0,0.004449540099646165,0.008124858182719899,0.003675368450084801
0.1416397009998036,0.5426136100602243,2.2554091023841707,0.5426136100602085,2.2554091023841214,0,0.008124858182674308,0.008124858182719899,5.1787471346617985e-14
0.14178897999954643,0.5426136100602243,2.2554091023841707,0.5426136100602085,2.2554091023841214,0,0.008124858182674308,0.008124858182719899,5.1787471346617985e-14
0.14208376399983536,0.5426136100602243,2.2554091023841707,0.5426136100602085,2.2554091023841214,0,0.008124858182674308,0.008124858182719899,5.1787471346617985e-14
0.1423706250025134,0.5426136100602243,2.2554091023841707,0.5426136100602085,2.2554091023841214,0,0.008124858182674308,0.008124858182719899,5.1787471346617985e-14
0.14264742100203875,0.5426136100602243,2.2554091023841707,0.5426136100602085,2.2554091023841214,0,0.008124858182674308,0.008124858182719899,5.1787471346617985e-14
0.14291668599980767,0.5426136100602243,2.2554091023841707,0.5426136100602085,2.2554091023841214,0,0.008124858182674308,0.008124858182719899,5.1787471346617985e-14
0.16575169200223172,0.5426136100602243,2.2554091023841707,0.5404214412223048,2.253307120778538,0,0.008124858182674308,0.011161950325388947,0.00303709250507199
0.1665116570002283,0.5404214412223207,2.253307120778587,0.5404214412223048,2.253307120778538,0,0.011161950325343362,0.011161950325388947,5.1787471346617985e-14
0.1667508730024565,0.5404214412223207,2.253307120778587,0.5404214412223048,2.253307120778538,0,0.011161950325343362,0.011161950325388947,5.1787471346617985e-14
0.16727650100074243,0.5404214412223207,2.253307120778587,0.5404214412223048,2.253307120778538,0,0.011161950325343362,0.011161950325388947,5.1787471346617985e-14
0.16850286400222103,0.5404214412223207,2.253307120778587,0.5404214412223048,2.253307120778538,0,0.011161950325343362,0.011161950325388947,5.1787471346617985e-14
0.16966998900170438,0.5404214412223207,2.253307120778587,0.5404214412223048,2.253307120778538,0,0.011161950325343362,0.011161950325388947,5.1787471346617985e-14
0.1707656250000582,0.5404214412223207,2.253307120778587,0.5404214412223048,2.253307120778538,0,0.011161950325343362,0.011161950325388947,5.1787471346617985e-14
0.1927872650012432,0.5364989688531905,2.2495065617394,0.5404214412223048,2.253307120778538,0,0.016623596357742427,0.011161950325388947,0.005461688245994704
0.193011857001693,0.5364989688531905,2.2495065617394,0.5404214412223048,2.253307120778538,0,0.016623596357742427,0.011161950325388947,0.005461688245994704
0.19331175399929634,0.5364989688531905,2.2495065617394,0.5364989688531746,2.249506561739351,0,0.016623596357742427,0.01662359635778805,5.1787471346617985e-14
0.1938677380021545,0.5364989688531905,2.2495065617394,0.5364989688531746,2.249506561739351,0,0.016623596357742427,0.01662359635778805,5.1787471346617985e-14
0.19421746499938308,0.5364989688531905,2.2495065617394,0.5364989688531746,2.249506561739351,0,0.016623596357742427,0.01662359635778805,5.1787471346617985e-14
0.1945282920023601,0.5364989688531905,2.2495065617394,0.5364989688531746,2.249506561739351,0,0.016623596357742427,0.01662359635778805,5.1787471346617985e-14
0.1949565220020304,0.5364989688531905,2.2495065617394,0.5364989688531746,2.249506561739351,0,0.016623596357742427,0.01662359635778805,5.1787471346617985e-14
0.21581211000011535,0.5334596568518015,2.246527373203796,0.5364989688531746,2.249506561739351,0,0.020879393507115426,0.01662359635778805,0.004255934888138313
0.2165672760020243,0.5334596568518015,2.246527373203796,0.5334596568517856,2.2465273732037465,0,0.020879393507115426,0.020879393507161094,5.1787471346617985e-14
0.22299998800008325,0.5334596568518015,2.246527373203796,0.5334596568517856,2.2465273732037465,0,0.020879393507115426,0.020879393507161094,5.1787471346617985e-14
0.22548294100124622,0.5334596568518015,2.246527373203796,0.5334596568517856,2.2465273732037465,0,0.020879393507115426,0.020879393507161094,5.1787471346617985e-14
0.22663316300167935,0.5334596568518015,2.246527373203796,0.5334596568517856,2.2465273732037465,0,0.020879393507115426,0.020879393507161094,5.1787471346617985e-14
0.22777724499974283,0.5334596568518015,2.246527373203796,0.5334596568517856,2.2465273732037465,0,0.020879393507115426,0.020879393507161094,5.1787471346617985e-14
